Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OPTT,Ocean Power Technologies Inc. Common Stock,$0.2975,0.0089,3.084%,17489644.00,United States,2007,219605,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$3.745,-0.045,-1.187%,1177506645.00,,2020,329457,Basic Materials,Precious Metals
OZ,Belpointe PREP LLC Class A Units,$60.30,-1.4497,-2.348%,221874574.00,,,3357,,
PAPL,Pineapple Financial Inc. Common Stock,$1.3762,-0.0711,-4.913%,9883846.00,,2023,16768,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$24.3045,-0.037,-0.152%,,United States,,3057,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$20.5478,-0.3022,-1.449%,,United States,,1706,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.05,-0.28,-1.449%,,United States,,955,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$18.80,0.00,0.00%,,United States,,61,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.8672,0.00,0.00%,,United States,,57,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$18.46,0.00,0.00%,,United States,,7,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$16.8037,0.00,0.00%,,United States,,5,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$17.50,1.20,7.362%,,United States,,120,,
PED,Pedevco Corp. Common Stock,$0.6851,-0.0049,-0.71%,59775158.00,United States,,35067,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.436,-0.2519,-36.619%,20047162.00,,2019,7348167,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.2799,-0.0001,-0.036%,20175732.00,China,,32359,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.185,0.105,9.722%,121316360.00,Canada,,856914,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.47,-0.01,-0.676%,107239622.00,Israel,,183968,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMNT,Perfect Moment Ltd. Common Stock,$4.31,0.20,4.866%,0.00,United Kingdom,2024,10077,,
PRK,Park National Corporation Common Stock,$131.885,-0.675,-0.509%,2125521833.00,United States,1994,11924,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$1.893,0.033,1.774%,30546660.00,United States,1999,107819,Health Care,Biotechnology: Pharmaceutical Preparations
